date,ABBV,ADBE,AAP,ALB,AGN,AMZN,AEE,AMT,ADI,ANTM,AMAT,ARNC,AJG,BLL,BIIB,COG,CAH,CHTR,CLX,CTSH,CL,DE,EBAY,FMC,GILD,HPQ,INCY,IPGP,JKHY,J,SJM,KEYS,KR,LH,LDOS,MSCI,NFLX,NEM,NVDA,PM,REGN,RMD,ROL,SBAC,TMUS,TIF,TJX,TWTR,VRTX,ZTS
2019-03-01 00:00:00+00:00,80.1,264.01,160.62,90.79,140.72,1671.73,70.93,177.92,108.44,307.68,38.56,18.7,80.32,55.21,334.1,25.24,53.05,346.58,157.8,72.13,66.0,163.31,37.35,90.44,66.01,19.6,88.17,156.68,133.76,74.01,105.42,85.9,28.02,148.73,64.98,190.21,357.32,33.82,156.45,87.51,439.57,103.11,39.78,182.11,72.34,95.93,52.02,30.62,192.16,95.75
2019-03-04 00:00:00+00:00,79.46,258.16,158.4,88.49,139.12,1696.17,71.3,179.69,108.66,292.59,39.08,18.49,79.62,55.25,327.26,25.34,50.9,346.1,157.97,71.76,66.03,165.82,37.25,78.96,65.45,19.53,85.41,156.36,132.98,73.64,102.54,85.23,28.64,147.02,64.1,187.16,351.04,34.45,156.78,87.28,433.83,101.9,40.3,182.48,71.65,94.6,51.41,30.5,190.04,95.87
2019-03-05 00:00:00+00:00,78.91,257.38,157.31,87.93,140.16,1692.43,71.07,181.06,108.23,298.69,38.93,18.61,80.0,55.96,326.87,25.75,49.86,343.75,156.76,71.39,65.72,161.45,37.12,79.09,64.39,19.36,85.04,156.08,133.0,73.0,102.08,85.26,28.92,147.37,63.58,187.67,354.3,34.5,156.52,86.98,437.13,102.43,40.26,182.1,71.41,94.87,51.66,31.03,187.8,95.78
2019-03-06 00:00:00+00:00,78.09,256.4,157.97,86.37,137.51,1668.95,71.07,181.65,106.79,294.46,38.07,18.61,78.88,55.42,317.97,25.41,48.23,340.56,156.84,71.46,65.61,158.24,36.81,78.46,62.92,19.08,83.37,152.35,131.82,72.25,103.41,85.25,28.44,145.21,63.03,186.46,359.61,33.14,152.05,87.02,423.69,100.61,40.21,182.3,70.78,94.79,51.93,30.8,181.11,94.17
2019-03-07 00:00:00+00:00,78.24,255.46,154.13,84.6,143.0,1625.95,71.22,181.75,105.68,291.42,37.57,18.32,78.24,54.68,315.29,25.12,47.5,340.03,157.11,72.33,65.34,158.02,36.21,77.82,62.53,18.82,82.45,147.99,131.0,72.11,102.63,84.58,25.61,145.81,62.43,182.06,352.6,33.22,149.26,86.97,409.58,100.49,39.97,183.38,71.32,94.49,51.75,30.12,178.61,92.55
2019-03-08 00:00:00+00:00,77.58,254.74,151.77,82.97,145.06,1620.8,71.7,181.61,105.41,295.04,37.74,18.49,77.91,55.01,307.93,24.67,47.7,337.54,157.83,71.15,65.35,159.01,35.89,77.53,63.23,18.74,82.12,148.09,131.33,71.9,102.49,83.99,24.47,146.51,62.44,182.44,349.6,33.71,150.64,87.45,402.64,101.0,40.11,183.47,70.65,94.33,50.72,30.04,177.26,92.41
2019-03-11 00:00:00+00:00,78.08,260.96,155.46,85.51,146.64,1670.62,72.57,185.16,107.68,295.97,38.51,18.81,79.04,55.6,311.46,24.9,48.85,341.08,159.07,72.35,65.85,160.42,36.25,78.44,64.34,19.04,84.17,151.32,133.46,73.04,103.13,85.0,24.67,149.01,63.18,183.66,358.86,33.45,161.14,89.24,412.05,101.4,40.7,185.91,71.47,96.28,51.7,30.87,180.52,94.73
2019-03-12 00:00:00+00:00,78.74,263.51,154.87,85.47,147.76,1673.1,72.37,185.75,107.91,296.98,38.71,18.87,79.07,56.63,312.72,25.52,49.33,342.51,159.19,71.78,65.74,159.14,36.28,78.47,64.83,19.06,84.9,152.16,134.31,73.06,102.8,84.89,24.48,151.41,63.03,185.02,356.27,34.52,162.52,88.8,417.62,102.77,40.68,187.12,71.7,95.87,51.94,31.16,182.57,95.75
2019-03-13 00:00:00+00:00,78.93,264.38,154.7,86.21,150.47,1690.81,72.94,187.23,108.08,303.61,38.6,18.95,79.06,57.11,320.56,25.98,50.65,348.13,160.13,71.21,66.52,159.68,36.46,78.48,65.75,19.61,85.06,153.9,135.7,73.27,103.26,84.21,24.73,154.93,63.35,185.59,361.21,34.41,168.62,89.5,409.01,102.63,41.05,188.96,72.25,96.55,52.48,31.3,185.66,96.93
2019-03-14 00:00:00+00:00,79.95,267.69,154.0,84.73,149.8,1686.22,72.61,187.97,108.25,305.45,38.93,18.95,79.59,57.27,321.52,26.05,50.8,352.71,159.83,70.93,66.25,157.76,36.35,77.16,64.79,19.64,84.31,149.51,135.84,73.08,103.85,85.33,24.75,152.82,62.74,186.81,358.82,33.42,165.56,89.79,407.5,101.0,41.02,189.44,72.34,95.47,52.1,31.03,186.11,96.2
